"Property","en","pt-br","pt","pl","nl","lt","ja","it","id","hr","hi","gl","fr","fi","es-es","el","de-de","cs","ca","bg","sk","sh","ru","sr","sr-cs","ro","uk","tr","zh-tw","zh-cn"
"at_created","Contract created",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"subscription_id","Subscription ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"frequency","Frequency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"escrow_id","Escrow ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"decision","Decision",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"split","Split",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"release","Release",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"signers","Signers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"required_signers","Required signers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"deadline_action","Deadline action",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bytes","Bytes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"text","Text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"assets_transferred","Tokens transferred",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mintable","Mintable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"name_not_in_contacts","'__name__' not found in the contacts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"error_save_db","Error saving the database.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"at_payment","Contract Payment","Pagamento de contrato",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"add_commitment","Add Commitment","Depósito de empenho",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"remove_commitment","Remove Commitment","Retirada de empenho",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"asset_add_treasury_account","Add Treasury Account","Adicionar conta da tesouraria",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"asset_distribute_to_holders","Distribute to Holders","Distribuição a acionistas",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"asset_mint","Token Mint","Cunhagem de ativo",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"asset_multi_transfer","Token Multi Transfer","Transferência de múltiplos ativos",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"multi_out_payment","Multi-out Payment","Pagamento múltiplo",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"multi_out_same_payment","Multi-out Same Payment","Pagamento múltiplo mesmo valor",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"subscription_subscribe","Subscription Subscribe","Inscrição de pagamento recorrente",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"subscription_payment","Subscription Payment","Pagamento recorrente",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"subscription_cancel","Subscription Cancel","Cancelamento de pagamento recorrente",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"at_creation","Deploy Contract","Criação de contrato",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"new_group","New Group","Novo grupo",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"add_all_my_assets","Bookmark all my Tokens","Favoritar todos meus ativos",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"invalid_asset","Invalid token in current network.","Ativo inválido na rede atual.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"account","Account",,"Conta","Konto",,"Sąskaita","アカウント",,,"Račun","खाता","Conta","Compte","Tili","Cuenta","Λογαριασμός","Konto","Účet","Compte","Сметка","Účet","Račun","Аккаунт","Налог","Nalog","Cont","Аккаунт","Hesap","帳戶","帐户"
"account_balance","Account Balance","Saldo da conta","Saldo da Conta","Balans konta","Rekening saldo","Sąskaitos balansas","アカウントの残高","Saldo","Saldo Akun","Saldo računa","खाते की शेष राशि","saldo da Conta","Solde du compte","Tilin saldo","Saldo de la Cuenta","Υπόλοιπο λογαριασμού","Guthaben","Zůstatek na účtu","Saldo del compte","Наличност по сметка","Zostatok na účte","Saldo računa","Баланс аккаунта","Салдо Налога","Saldo Naloga","Sold disponibil în cont","Залишок на рахунку","Hesap bakiyesi","帳戶餘額","帐户余额"
"account_details","Account Details","Detalhes da conta","Detalhes de Conta","Szczegóły konta","Accountgegevens","Paskyros Duomenys","アカウントの詳細","Dettagli account","Detail catatan","Detalji računa","खाता विवरण","Detalles da conta","Détails du compte","Tilin tiedot","Detalles de Cuenta","Λεπτομέρειες λογαριασμού","Kontodetails","Detaily účtu","Detalls del compte","Данни за сметка","Detaily účtu","Detalji računa","Детали аккаунта","Детаљи налога","Detalji naloga","Detalii cont","Подробиці аккаунта","Hesap Bilgileri","帳戶詳細信息","帐户详细信息"
